Class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
DefaultPassConfig,20,121,372,0,170,0,0,3,128,8.194805194805195,33,1.713584288052373
FunctionNames,4,13,27,2,13,0,0,2,2,12.0,33,3.945945945945946
AbstractCommandLineRunner,54,69,430,0,68,0,2,9,95,18.08910891089109,51,2.67027027027027
ClosureCodeRemoval,1,11,54,1,22,0,0,0,16,5.75,33,5.454545454545454
OptimizeReturns,5,1,41,2,22,0,0,6,5,9.833333333333334,33,4.644444444444445
CheckRegExp,3,4,23,1,14,0,0,1,2,13.333333333333334,33,6.588235294117647
ControlFlowAnalysis,38,13,362,2,54,0,0,19,29,13.348837209302326,33,2.711442786069652
NameReferenceGraphReport,8,1,107,0,35,0,0,4,12,18.11111111111111,33,5.788888888888889
AnalyzePrototypeProperties,3,34,238,1,56,0,0,5,32,13.136363636363637,33,2.6737288135593222
PeepholeFoldConstants,35,8,453,0,97,0,0,39,22,17.457142857142856,33,0.6676691729323309
AbstractCompiler,51,2,10,1,1,0,0,1,53,16.90740740740741,33,189.6
UseSite,2,3,3,0,1,0,0,1,2,7.0,33,22.6
RescopeGlobalSymbols,2,6,95,1,23,0,0,6,6,10.5,33,4.176470588235294
XtbMessageBundle,4,11,61,1,15,0,2,1,5,14.0,33,3.2962962962962963
CoalesceVariableNames,7,10,163,2,40,0,0,4,6,11.8,33,1.625
NameGenerator,4,7,20,0,16,0,0,2,8,13.0,33,5.295454545454546
CheckPathsBetweenNodes,8,11,41,0,22,0,0,4,8,18.5,33,3.960526315789474
MethodCompilerPass,5,5,88,1,24,0,0,1,12,12.454545454545455,33,3.753623188405797
EmptyMessageBundle,3,0,4,1,1,0,0,1,5,11.666666666666666,33,39.0
AnalyzeNameReferences,3,5,24,1,15,0,0,3,5,12.0,33,5.405405405405405
RemoveUnusedClassProperties,5,4,54,2,16,0,0,3,3,11.6,33,3.021276595744681
VarCheck,6,11,88,1,44,0,0,4,6,15.285714285714286,33,2.0595238095238093
CompilerInput,28,11,111,2,15,0,1,2,16,11.733333333333333,33,3.7473684210526317
ConvertToDottedProperties,2,1,18,1,13,0,0,0,2,6.0,33,7.266666666666667
FieldCleanupPass,2,3,24,1,9,0,0,1,4,10.2,33,18.88888888888889
DiagnosticGroup,6,4,19,1,6,0,0,2,12,7.833333333333333,33,8.32
SymbolTable,48,28,545,1,39,0,0,9,53,14.96875,43,2.9446640316205532
PrepareAst,4,2,62,1,14,0,0,1,8,17.2,33,4.106060606060606
ControlStructureCheck,4,2,16,1,9,0,0,0,3,7.75,33,8.0
ClosureRewriteClass,16,16,176,1,39,0,0,6,5,16.25,33,0.9716312056737588
ReplaceMessagesForChrome,4,0,38,0,18,0,1,2,2,19.25,33,4.1875
ProcessDefines,6,23,135,1,41,0,0,2,22,15.38888888888889,33,3.598684210526316
PreprocessorSymbolTable,9,3,23,2,5,0,0,1,3,11.222222222222221,33,7.133333333333334
MarkNoSideEffectCalls,3,5,44,1,26,0,0,3,6,15.4,33,3.462962962962963
PrintStreamErrorManager,3,3,17,0,7,0,0,0,4,13.333333333333334,33,13.75
CodePrinter,1,25,89,0,20,0,0,6,28,12.974358974358974,33,3.3838383838383836
TypeCheck,39,50,692,2,182,0,0,6,32,15.794871794871796,33,1.7421383647798743
PeepholeFoldWithTypes,2,0,21,0,30,0,0,2,3,14.0,33,6.484848484848484
PassConfig,17,15,36,0,18,0,0,1,22,16.869565217391305,33,6.770491803278689
AbstractPeepholeOptimization,13,1,22,0,10,0,0,1,16,17.076923076923077,33,17.25
RenamePrototypes,3,14,110,1,32,0,0,5,16,15.8,33,3.872340425531915
RhinoErrorReporter,6,8,44,0,6,0,0,2,3,9.384615384615385,33,4.354838709677419
NameReferenceGraph,6,17,83,1,13,0,0,3,11,12.878787878787879,33,5.176470588235294
UnreachableCodeElimination,4,4,67,2,25,0,0,5,4,14.0,38,4.8
ReplaceCssNames,2,10,69,1,31,0,0,3,3,11.5,33,4.5625
ObjectPropertyStringPostprocess,1,1,27,1,20,0,0,2,2,6.0,43,5.0
DefinitionSite,0,5,0,0,0,0,0,0,2,0.0,33,21.6
GroupVariableDeclarations,6,1,44,2,32,0,0,2,3,10.5,33,6.978260869565218
Strings,3,0,11,0,7,0,0,3,5,22.333333333333332,48,35.714285714285715
CheckRequiresForConstructors,4,7,78,1,31,0,0,3,4,12.333333333333334,33,2.2205882352941178
MemoizedScopeCreator,7,2,23,2,7,0,0,1,4,14.857142857142858,33,8.428571428571429
GatherRawExports,4,3,19,1,11,0,0,3,2,13.5,33,5.3
ExpressionDecomposer,26,8,217,0,33,0,0,4,28,19.0,33,4.65158371040724
JSModuleGraph,15,6,139,0,39,0,2,3,21,17.0,35,5.0588235294117645
InlineFunctions,19,31,346,1,34,0,0,4,34,15.27027027027027,33,1.713091922005571
ShadowVariables,1,7,72,1,26,0,0,4,4,8.285714285714286,33,2.2758620689655173
GlobalNamespace,18,39,224,2,83,0,0,8,43,13.115942028985508,33,3.2117117117117115
ClosureOptimizePrimitives,3,2,35,1,17,0,0,3,7,14.75,33,4.25
FunctionTypeBuilder,20,38,244,0,45,0,0,5,28,17.4375,33,2.2522796352583585
DotFormatter,12,8,93,0,26,0,1,2,9,9.5,33,3.082474226804124
CrossModuleCodeMotion,8,11,113,1,29,0,0,10,14,13.727272727272727,33,2.414814814814815
JSSourceFile,10,2,20,1,1,0,1,1,2,10.6,33,9.666666666666666
ComposeWarningsGuard,8,8,34,0,12,0,0,3,4,9.666666666666666,33,3.0517241379310347
VariableReferenceCheck,2,6,50,1,47,0,0,0,4,10.5,33,3.5555555555555554
ReplaceMessages,8,3,100,0,20,0,1,4,8,19.0,33,5.361702127659575
CleanupPasses,4,5,18,0,10,0,0,1,3,11.444444444444445,33,6.181818181818182
InlineVariables,2,8,247,1,35,0,0,7,26,17.46153846153846,33,2.56140350877193
ProcessCommonJSModules,6,12,117,1,14,0,0,1,12,14.23076923076923,33,3.481012658227848
SanityCheck,5,4,32,1,12,0,0,2,5,17.0,33,5.645161290322581
SuppressDocWarningsGuard,2,2,17,0,25,0,0,2,4,8.0,33,3.8620689655172415
PeepholeSubstituteAlternateSyntax,47,10,637,0,94,0,0,19,42,19.24,33,1.59882005899705
AstChangeProxy,6,1,24,0,19,0,0,1,10,13.285714285714286,33,5.571428571428571
DiagnosticGroupWarningsGuard,4,3,10,0,8,0,0,2,2,7.0,33,7.3076923076923075
JqueryCodingConvention,3,3,15,0,2,0,0,1,2,17.666666666666668,33,13.142857142857142
InferJSDocInfo,5,2,58,1,39,0,0,4,4,15.8,33,3.925373134328358
SpecializeModule,8,14,137,1,16,0,0,5,33,21.607142857142858,37,10.76595744680851
SideEffectsAnalysis,9,21,115,1,20,0,0,9,45,15.590909090909092,33,9.105263157894736
AmbiguateProperties,10,23,209,1,30,0,0,3,28,12.25,33,3.1443298969072164
SourceFile,30,15,106,2,29,0,1,5,23,11.76086956521739,33,3.9078014184397163
LineNumberCheck,4,3,13,2,8,0,0,1,2,10.25,33,6.352941176470588
OptimizeCalls,2,2,6,1,6,0,0,1,2,7.0,33,13.11111111111111
CrossModuleMethodMotion,2,10,53,1,33,0,0,1,7,10.25,33,3.9069767441860463
Compiler,155,67,751,0,71,0,1,6,104,14.029069767441861,33,1.9693396226415094
NodeNameExtractor,1,2,27,0,24,0,0,11,3,7.0,33,7.24
TypedCodeGenerator,5,0,104,0,55,0,0,6,7,16.4,52,2.9797979797979797
TypeInferencePass,4,6,31,1,5,0,0,1,4,8.875,33,6.2727272727272725
SyntheticAst,5,4,9,1,3,0,0,1,2,10.8,33,9.5
CombinedCompilerPass,7,5,28,2,6,0,0,1,9,12.583333333333334,35,7.270833333333333
RuntimeTypeCheck,3,4,135,1,21,0,0,5,8,13.5,33,3.5398230088495577
VariableMap,14,3,58,0,11,0,1,2,14,11.571428571428571,33,4.084745762711864
MustBeReachingVariableDef,12,7,128,0,53,0,0,8,9,12.5,33,2.5555555555555554
StripCode,2,8,139,1,27,0,0,5,22,25.05,37,6.024844720496894
TransformAMDToCJSModule,3,8,120,1,36,0,0,6,11,15.363636363636363,34,2.2884615384615383
PeepholeCollectPropertyAssignments,9,0,96,0,29,0,0,7,2,17.555555555555557,33,0.946969696969697
CheckProvides,2,7,37,1,15,0,0,0,2,11.4,33,2.0930232558139537
ScopedAliases,2,24,168,1,40,0,0,2,5,12.904761904761905,37,0.9146341463414634
JsMessage,14,22,96,0,70,0,0,3,39,8.977272727272727,44,4.192660550458716
ConcreteType,22,21,206,1,22,0,0,6,70,11.746835443037975,33,5.235807860262009
GatherSideEffectSubexpressionsCallback,7,5,99,1,25,0,0,7,16,22.5625,38,4.708333333333333
NodeIterators,0,5,65,0,32,0,0,5,12,8.416666666666666,33,3.875
PureFunctionIdentifier,9,24,306,1,50,0,0,7,38,15.227272727272727,33,1.7333333333333334
CallGraph,21,19,132,1,23,0,0,3,44,18.512820512820515,37,6.7725118483412325
LoggerErrorManager,2,2,18,0,7,0,0,0,4,9.5,33,8.0
CheckAccessControls,24,20,251,2,37,0,0,5,20,19.041666666666668,33,2.391489361702128
NameAnalyzer,25,37,555,1,63,0,0,9,89,14.238095238095237,33,3.1116279069767443
PerformanceTracker,9,23,107,0,64,0,0,2,8,13.0,33,0.9565217391304348
SimpleFunctionAliasAnalysis,4,2,30,0,12,0,0,1,6,14.5,33,6.517241379310345
CheckMissingGetCssName,6,6,37,1,14,0,0,4,5,14.833333333333334,33,4.7272727272727275
ErrorPass,1,2,3,1,1,0,0,0,2,7.0,33,23.0
SourceInformationAnnotator,2,2,20,0,18,0,0,0,2,10.0,33,6.695652173913044
MoveFunctionDeclarations,3,2,22,2,12,0,0,1,2,8.666666666666666,33,7.0476190476190474
StrictWarningsGuard,2,2,5,0,4,0,0,2,2,8.0,33,19.0
NameReferenceGraphConstruction,7,8,226,1,44,0,0,6,14,18.666666666666668,33,1.159362549800797
ExportTestFunctions,4,4,54,1,22,0,0,2,5,16.833333333333332,33,5.285714285714286
AstValidator,64,1,391,1,38,0,0,18,2,17.227272727272727,33,0.24509803921568626
ChainCalls,1,11,50,1,42,0,0,12,5,8.333333333333334,33,1.8923076923076922
InlineSimpleMethods,12,2,76,0,26,0,0,4,14,15.0625,33,4.590361445783133
MaybeReachingVariableUse,9,3,76,0,46,0,0,7,9,13.25,33,5.457831325301205
PeepholeReplaceKnownMethods,17,2,297,0,78,0,0,13,18,19.352941176470587,33,0.6734177215189874
DevirtualizePrototypeMethods,13,2,141,2,36,0,0,12,11,16.923076923076923,33,3.108108108108108
TightenTypes,19,41,550,2,87,0,0,6,54,14.461538461538462,33,2.1313868613138687
CreateSyntheticBlocks,5,10,54,1,27,0,0,7,9,11.166666666666666,33,2.933333333333333
NodeTraversal,36,14,174,0,17,0,0,3,50,12.51063829787234,33,4.109375
PhaseOptimizer,14,23,69,1,43,0,0,2,20,11.6,33,2.7794117647058822
CheckMissingReturn,8,5,47,1,13,0,0,5,8,12.3,33,4.866666666666666
CheckDebuggerStatement,2,2,6,1,3,0,0,0,2,6.0,33,24.4
InlineCostEstimator,2,6,11,0,5,0,0,1,6,9.222222222222221,33,10.2
IgnoreCajaProperties,1,2,34,1,12,0,0,0,2,6.0,33,10.533333333333333
AnonymousFunctionNamingCallback,2,1,29,0,13,0,0,0,6,13.2,33,6.846153846153846
AliasStrings,9,22,86,1,29,0,0,3,18,18.636363636363637,33,4.264
DisambiguateProperties,10,22,379,1,34,0,0,5,49,16.029850746268657,33,2.532710280373832
CollapseAnonymousFunctions,1,1,40,1,17,0,0,3,2,10.75,33,3.727272727272727
WhitelistWarningsGuard,11,7,83,0,20,0,1,2,19,14.444444444444445,33,5.342465753424658
AstParallelizer,6,10,50,0,18,0,0,4,7,10.307692307692308,33,6.188679245283019
DefinitionsRemover,2,9,99,0,24,0,0,8,19,10.72,33,3.0961538461538463
OptimizeArgumentsArray,7,7,61,2,35,0,0,4,6,10.571428571428571,33,2.971014492753623
VariableNameGenerator,1,2,3,0,3,0,0,1,2,14.0,33,19.6
LinkedFlowScope,17,12,120,1,29,0,0,8,15,12.421052631578947,33,2.1346153846153846
ConstCheck,4,3,36,1,29,0,0,1,5,8.25,33,3.6857142857142855
BasicErrorManager,11,8,25,1,40,0,0,13,5,10.916666666666666,33,3.0303030303030303
DeadAssignmentsElimination,10,3,140,2,61,0,0,11,6,16.90909090909091,33,2.1785714285714284
Scope,26,16,109,2,9,0,0,3,53,11.101694915254237,33,7.260504201680672
PassFactory,4,2,0,0,1,0,0,1,7,10.0,33,39.6
Denormalize,4,2,43,2,33,0,0,4,3,11.333333333333334,33,3.511627906976744
ReferenceCollectingCallback,11,18,158,3,13,0,0,4,42,15.142857142857142,33,4.301675977653631
NameAnonymousFunctionsMapped,2,10,25,1,10,0,0,2,4,12.333333333333334,33,7.37037037037037
JsMessageVisitor,24,30,230,1,60,0,1,7,28,21.12,41,3.7544483985765122
OptimizeParameters,17,6,142,2,26,0,0,8,14,17.708333333333332,33,1.8031088082901554
CodeConsumer,34,3,67,0,25,0,0,1,12,12.205882352941176,33,3.357142857142857
TypedScopeCreator,8,33,758,1,46,0,0,9,50,16.763636363636362,50,2.2270742358078603
RenameVars,10,26,119,1,40,0,0,6,27,12.705882352941176,33,2.4835164835164836
ProcessTweaks,6,30,142,1,44,0,0,4,14,18.227272727272727,33,2.0602409638554215
FunctionInjector,18,12,173,0,30,0,0,6,34,15.962962962962964,39,3.5714285714285716
ControlFlowGraph,6,2,20,0,11,0,0,7,17,17.0,41,16.0
ExpandJqueryAliases,10,14,278,1,53,0,0,4,7,17.928571428571427,33,1.1666666666666667
ProcessClosurePrimitives,21,34,424,1,53,0,0,5,37,18.194444444444443,33,1.5166666666666666
CheckGlobalThis,4,3,41,1,30,0,0,6,5,13.75,33,5.653846153846154
WarningsGuard,4,1,2,1,1,0,0,1,6,7.8,33,74.0
FlowSensitiveInlineVariables,6,13,146,2,50,0,0,17,10,8.833333333333334,33,2.361963190184049
NameAnonymousFunctions,1,6,14,1,4,0,0,1,4,14.2,33,15.818181818181818
SimpleRegion,3,3,3,1,1,0,0,1,2,19.0,33,14.333333333333334
CheckGlobalNames,9,9,85,1,25,0,0,6,6,18.22222222222222,33,2.157303370786517
InvocationsCallback,2,0,9,0,10,0,0,3,3,5.0,33,14.0
AbstractMessageFormatter,5,4,9,1,4,0,0,3,3,13.5,33,8.0
ExtractPrototypeMemberDeclarations,4,15,76,1,14,0,0,2,10,13.88888888888889,33,5.861111111111111
Result,0,13,0,0,0,0,0,0,2,0.0,33,6.142857142857143
CodeGenerator,32,8,515,0,409,0,1,4,18,15.0625,36,0.5597667638483965
ReplaceStrings,17,21,134,1,26,0,0,3,18,14.631578947368421,33,3.5238095238095237
ShowByPathWarningsGuard,2,2,8,0,1,0,0,1,3,8.0,33,9.583333333333334
CollapseProperties,22,8,292,1,42,0,0,2,24,25.304347826086957,33,4.354304635761589
FunctionArgumentInjector,11,6,131,0,32,0,0,3,15,17.470588235294116,33,3.7607361963190185
TypeInference,49,17,558,0,69,0,0,3,23,18.826923076923077,35,1.2521739130434784
RemoveUnusedPrototypeProperties,4,5,18,1,22,0,0,3,6,20.0,33,3.702127659574468
RecordFunctionInformation,4,4,42,1,10,0,0,2,6,9.0,33,6.2
LightweightMessageFormatter,4,2,54,0,31,0,0,4,4,10.833333333333334,33,2.014705882352941
RemoveUnusedNames,2,3,14,1,9,0,0,0,4,14.5,33,9.307692307692308
CodingConventions,1,2,131,0,20,0,0,5,5,20.794117647058822,33,1.896551724137931
GlobalVarReferenceMap,7,6,73,1,14,0,0,2,10,17.181818181818183,49,4.182926829268292
InlineObjectLiterals,1,4,176,1,44,0,0,8,11,16.363636363636363,33,2.06
FunctionToBlockMutator,14,3,132,0,23,0,0,2,17,19.933333333333334,33,3.572519083969466
Normalize,5,15,270,1,30,0,0,2,21,15.233333333333333,33,2.8264150943396227
JSError,16,8,38,0,25,0,0,9,22,8.0,33,7.982456140350878
AliasKeywords,9,15,106,1,8,0,0,3,35,17.166666666666668,44,8.161290322580646
NodeUtil,156,16,892,0,61,0,0,42,143,16.023952095808383,49,3.060843964671246
SourceMap,8,5,44,0,17,0,1,3,5,11.133333333333333,33,3.2439024390243905
InlineProperties,5,6,121,1,29,0,0,3,7,16.53846153846154,33,1.9714285714285715
CompilerOptions,209,170,273,2,15,0,1,4,222,21.027649769585253,45,6.638613861386139
ReorderConstantExpression,1,0,17,0,11,0,0,1,2,15.0,33,10.454545454545455
GoogleJsMessageIdGenerator,1,1,15,1,73,0,0,1,7,9.6,73,2.6236559139784945
GenerateExports,3,4,58,1,30,0,0,1,4,10.0,34,3.4871794871794872
GoogleCodingConvention,7,4,27,0,10,0,0,3,9,13.285714285714286,33,12.857142857142858
AliasExternals,16,25,209,1,29,0,0,3,43,14.12,33,6.426900584795321
CheckSuspiciousCode,5,2,30,0,8,0,0,0,2,12.2,33,5.7
PeepholeRemoveDeadCode,28,0,377,0,66,0,0,12,28,16.75,33,1.2595238095238095
InstrumentFunctions,1,12,102,1,31,0,0,2,8,10.25,33,4.245283018867925
MakeDeclaredNamesUnique,7,19,165,1,19,0,0,2,23,14.825,33,2.439306358381503
ReplaceIdGenerators,6,15,140,1,33,0,0,5,3,13.25,33,0.7025316455696202
CommandLineRunner,10,61,163,0,41,0,2,3,9,14.058823529411764,51,2.6347305389221556
ExternExportsPass,6,13,164,1,16,0,0,5,27,16.75,33,3.8333333333333335
SyntacticScopeCreator,6,7,91,1,28,0,0,5,9,15.5,33,2.3146067415730336
ExploitAssigns,6,0,63,0,39,0,0,8,7,16.833333333333332,33,3.5375
ClosureCodingConvention,24,4,136,0,28,0,0,7,12,20.88,33,1.7793103448275862
DependencyOptions,9,5,7,1,3,0,0,1,7,18.22222222222222,33,29.714285714285715
TypeValidator,33,20,249,0,30,0,0,5,28,16.583333333333332,33,5.313084112149533
SimpleDefinitionFinder,13,5,140,2,44,0,0,5,11,16.6875,33,1.871345029239766
JsAst,6,6,30,1,12,0,0,1,2,9.833333333333334,33,3.5384615384615383
RenameProperties,5,20,154,1,42,0,0,3,21,12.642857142857142,50,3.4145077720207255
Warning,4,2,4,0,1,0,0,1,2,8.0,33,23.0
AntErrorManager,2,2,12,0,6,0,0,0,2,9.5,33,8.166666666666666
CompileTask,35,20,141,0,24,0,0,1,30,15.114285714285714,33,2.38265306122449
SecureCompiler,7,10,30,0,14,0,0,2,7,12.2,33,5.319148936170213
Writer,40,0,319,0,155,0,0,2,5,13.625,33,0.4174757281553398
Validator,50,7,155,0,80,0,0,1,4,16.9,33,0.7991266375545851
JsonMLAst,9,8,26,1,17,0,0,3,7,12.11111111111111,60,4.130434782608695
Reader,77,12,423,0,107,0,1,4,39,16.685393258426966,33,1.2522202486678509
JsonMLUtil,5,5,54,0,28,0,1,6,9,11.818181818181818,33,3.06
JsonML,22,3,79,0,34,0,1,1,23,11.272727272727273,42,5.222222222222222
JsonMLException,0,1,0,0,0,0,0,0,2,0.0,33,97.0
NodeUtil,4,0,13,0,4,0,0,2,6,16.75,33,24.285714285714285
JsonMLError,2,5,6,0,1,0,0,1,7,4.0,33,9.75
LinkedDirectedGraph,35,13,179,1,11,0,0,3,10,13.045454545454545,33,1.5223880597014925
DiGraph,15,0,25,0,1,0,0,1,10,16.19047619047619,33,134.0
GraphReachability,3,6,20,1,7,0,0,2,4,9.333333333333334,33,8.31578947368421
FixedPointGraphTraversal,4,2,31,0,12,0,0,1,8,15.0,33,14.15
Graph,24,7,57,1,6,0,0,2,30,12.862068965517242,33,16.456521739130434
GraphPruner,2,1,38,0,23,0,0,1,2,7.5,33,5.3125
LinkedUndirectedGraph,27,11,140,1,14,0,0,4,6,12.50943396226415,33,1.2222222222222223
UndiGraph,4,0,3,0,0,0,0,0,5,22.166666666666668,33,0.0
StandardUnionFind,9,7,55,2,14,0,0,7,13,8.76923076923077,58,5.568965517241379
GraphColoring,3,4,32,0,15,0,0,2,6,8.571428571428571,33,8.470588235294118
CharRanges,18,3,47,0,48,0,0,4,6,8.61111111111111,33,1.2149532710280373
RegExpTree,16,35,507,0,241,0,0,31,25,12.1869918699187,33,0.5142857142857142
CaseCanonicalize,4,6,213,0,11,0,0,3,9,16.25,51,12.578947368421053
TestErrorReporter,5,4,9,1,5,0,0,1,4,14.4,36,8.666666666666666
SimpleSourceExcerptProvider,2,1,5,1,1,0,0,1,2,14.0,33,31.666666666666668
Protocol,2,12,34,0,5,0,0,1,16,10.55,33,8.942857142857143
AbstractWebServiceException,3,0,7,0,1,0,0,1,2,12.333333333333334,33,99.0
ClosureReverseAbstractInterpreter,2,7,73,0,10,0,0,2,8,11.1,33,2.4035087719298245
SemanticReverseAbstractInterpreter,11,7,161,0,73,0,0,22,13,14.52,48,1.4931506849315068
ChainableReverseAbstractInterpreter,11,8,175,1,22,0,0,6,23,15.486842105263158,62,3.8588235294117648
JsFileParser,5,8,32,0,24,0,1,2,12,11.2,33,8.666666666666666
DepsGenerator,19,12,122,0,19,0,1,3,14,18.25,33,3.584070796460177
JsFileLineParser,6,11,50,0,46,0,1,1,23,12.0,33,5.064935064935065
JsFunctionParser,4,7,24,0,14,0,1,1,10,9.75,33,6.32258064516129
PathUtil,6,2,48,0,18,0,0,4,8,13.5,33,10.065217391304348
SimpleDependencyInfo,6,4,13,1,4,0,0,2,7,11.833333333333334,33,14.615384615384615
DepsFileParser,4,5,32,0,15,0,1,1,12,10.5,38,12.916666666666666
SortedDependencies,11,4,98,0,24,0,1,3,8,16.833333333333332,33,3.236559139784946
JsDocInfoParser,58,20,776,0,463,0,0,18,55,18.080645161290324,33,1.034327009936766
ParserRunner,7,6,41,0,20,0,1,1,3,12.142857142857142,33,2.8181818181818183
JsDocTokenStream,20,19,55,0,92,0,0,23,8,11.35,33,0.7708333333333334
TypeSafeDispatcher,44,0,57,0,67,0,0,42,2,19.204545454545453,33,1.9850746268656716
IRFactory,29,19,541,0,88,0,0,86,9,17.564705882352943,54,1.326454033771107
Config,1,6,6,0,7,0,0,1,10,20.0,33,12.076923076923077
NullErrorReporter,4,0,7,0,1,0,0,1,2,8.285714285714286,33,19.0
